station,valid,date,precip_in,cloud_base_ft,beam_ft,best_radar,cat,temp_f_sfc,dwpf_sfc,vsby,temp_at_beam_c,temp_at_base_c,freezing_ft,pw_mm,lapse_3k,cloud_phase,beam_vs_freeze
HZL,2026-01-26 01:15,2026-01-26,0.01,,7429,KBGM,no_ceiling,17.6,12.2,2.0,3.0,,4180,26.1,-3.07,warm,above_freeze
HZL,2026-01-26 01:35,2026-01-26,0.03,,7429,KBGM,no_ceiling,17.6,12.2,1.75,3.0,,4180,26.1,-3.07,warm,above_freeze
SEG,2026-01-26 01:53,2026-01-26,0.01,1300.0,6608,KCCX,beam_in_cloud,12.0,11.0,1.0,3.62,-6.24,4180,26.1,-3.07,warm,above_freeze
HZL,2026-01-26 01:55,2026-01-26,0.06,,7429,KBGM,no_ceiling,19.4,14.0,2.0,3.0,,4180,26.1,-3.07,warm,above_freeze
MUI,2026-01-26 01:55,2026-01-26,0.01,600.0,9189,KCCX,beam_in_cloud,15.6,12.7,8.0,1.2,-10.11,4180,26.1,-3.07,warm,above_freeze
CXY,2026-01-26 01:56,2026-01-26,0.01,1700.0,8413,KLWX,beam_in_cloud,16.0,10.0,4.0,2.61,-5.46,4180,26.1,-3.07,warm,above_freeze
SEG,2026-01-26 02:02,2026-01-26,0.02,1300.0,6608,KCCX,beam_in_cloud,12.0,11.0,0.75,3.62,-6.24,4180,26.1,-3.07,warm,above_freeze
SEG,2026-01-26 02:10,2026-01-26,0.02,,6608,KCCX,no_ceiling,12.0,11.0,1.0,3.62,,4180,26.1,-3.07,warm,above_freeze
HZL,2026-01-26 02:15,2026-01-26,0.01,,7429,KBGM,no_ceiling,19.4,15.8,1.25,3.0,,4180,26.1,-3.07,warm,above_freeze
MDT,2026-01-26 02:17,2026-01-26,0.01,1500.0,8493,KLWX,beam_in_cloud,15.0,12.0,4.0,2.48,-5.84,4180,26.1,-3.07,warm,above_freeze
MDT,2026-01-26 02:24,2026-01-26,0.01,1500.0,8493,KLWX,beam_in_cloud,15.0,12.0,5.0,2.48,-5.84,4180,26.1,-3.07,warm,above_freeze
HZL,2026-01-26 02:35,2026-01-26,0.04,,7429,KBGM,no_ceiling,19.4,14.0,1.0,3.0,,4180,26.1,-3.07,warm,above_freeze
ZER,2026-01-26 02:35,2026-01-26,0.01,800.0,8582,KCCX,beam_in_cloud,14.0,12.2,2.5,2.32,-9.23,4180,26.1,-3.07,warm,above_freeze
SEG,2026-01-26 02:41,2026-01-26,0.03,1400.0,6608,KCCX,beam_in_cloud,12.0,12.0,1.25,3.62,-6.04,4180,26.1,-3.07,warm,above_freeze
LNS,2026-01-26 02:43,2026-01-26,0.01,1500.0,9420,KDIX,beam_in_cloud,14.0,12.0,3.0,0.55,-5.84,4180,26.1,-3.07,warm,above_freeze
SEG,2026-01-26 02:53,2026-01-26,0.03,1600.0,6608,KCCX,beam_in_cloud,12.0,12.0,1.75,3.62,-5.64,4180,26.1,-3.07,warm,above_freeze
LNS,2026-01-26 02:53,2026-01-26,0.01,1500.0,9420,KDIX,beam_in_cloud,14.0,12.0,5.0,0.55,-5.84,4180,26.1,-3.07,warm,above_freeze
HZL,2026-01-26 02:55,2026-01-26,0.06,,7429,KBGM,no_ceiling,17.6,14.0,1.25,3.0,,4180,26.1,-3.07,warm,above_freeze
ZER,2026-01-26 02:55,2026-01-26,0.03,800.0,8582,KCCX,beam_in_cloud,14.0,10.4,1.5,2.32,-9.23,4180,26.1,-3.07,warm,above_freeze
MUI,2026-01-26 02:55,2026-01-26,0.02,1300.0,9189,KCCX,beam_in_cloud,17.4,15.4,10.0,1.2,-6.24,4180,26.1,-3.07,warm,above_freeze
MDT,2026-01-26 02:56,2026-01-26,0.01,1500.0,8493,KLWX,beam_in_cloud,15.0,13.0,7.0,2.48,-5.84,4180,26.1,-3.07,warm,above_freeze
HZL,2026-01-26 03:15,2026-01-26,0.01,,7429,KBGM,no_ceiling,17.6,14.0,1.0,3.0,,4180,26.1,-3.07,warm,above_freeze
ZER,2026-01-26 03:15,2026-01-26,0.01,600.0,8582,KCCX,beam_in_cloud,14.0,10.4,1.5,2.32,-10.11,4180,26.1,-3.07,warm,above_freeze
HZL,2026-01-26 03:35,2026-01-26,0.02,,7429,KBGM,no_ceiling,19.4,14.0,1.25,3.0,,4180,26.1,-3.07,warm,above_freeze
ZER,2026-01-26 03:35,2026-01-26,0.01,400.0,8582,KCCX,beam_in_cloud,12.2,10.4,1.0,2.32,-9.64,4180,26.1,-3.07,warm,above_freeze
HZL,2026-01-26 03:55,2026-01-26,0.04,,7429,KBGM,no_ceiling,17.6,14.0,1.75,3.0,,4180,26.1,-3.07,warm,above_freeze
ZER,2026-01-26 03:55,2026-01-26,0.01,400.0,8582,KCCX,beam_in_cloud,12.2,10.4,1.25,2.32,-9.64,4180,26.1,-3.07,warm,above_freeze
HZL,2026-01-26 04:15,2026-01-26,0.01,,7429,KBGM,no_ceiling,17.6,14.0,1.5,3.0,,4180,26.1,-3.07,warm,above_freeze
HZL,2026-01-26 04:35,2026-01-26,0.02,,7429,KBGM,no_ceiling,17.6,14.0,1.5,3.0,,4180,26.1,-3.07,warm,above_freeze
MUI,2026-01-26 04:55,2026-01-26,0.01,900.0,9189,KCCX,beam_in_cloud,17.4,14.4,10.0,1.2,-8.01,4180,26.1,-3.07,warm,above_freeze
HZL,2026-01-26 04:55,2026-01-26,0.03,,7429,KBGM,no_ceiling,17.6,14.0,1.75,3.0,,4180,26.1,-3.07,warm,above_freeze
MUI,2026-01-26 06:55,2026-01-26,0.01,1000.0,9189,KCCX,beam_in_cloud,17.8,14.7,10.0,-6.34,-6.12,,11.4,-0.64,mixed,
ZER,2026-01-26 07:55,2026-01-26,0.01,300.0,8582,KCCX,beam_in_cloud,14.0,12.2,10.0,-5.49,-8.18,,11.4,-0.64,mixed,
HZL,2026-01-26 08:15,2026-01-26,0.01,,7429,KBGM,no_ceiling,17.6,14.0,10.0,-3.42,,,11.4,-0.64,mixed,
HZL,2026-01-26 08:35,2026-01-26,0.01,,7429,KBGM,no_ceiling,17.6,12.2,10.0,-3.42,,,11.4,-0.64,mixed,
ZER,2026-01-26 08:35,2026-01-26,0.01,300.0,8582,KCCX,beam_in_cloud,12.2,10.4,10.0,-5.49,-8.18,,11.4,-0.64,mixed,
HZL,2026-01-26 08:55,2026-01-26,0.01,,7429,KBGM,no_ceiling,15.8,12.2,10.0,-3.42,,,11.4,-0.64,mixed,
ZER,2026-01-26 08:55,2026-01-26,0.01,300.0,8582,KCCX,beam_in_cloud,12.2,10.4,7.0,-5.49,-8.18,,11.4,-0.64,mixed,
MDT,2026-02-06 20:47,2026-02-06,0.01,1500.0,8493,KLWX,beam_in_cloud,26.0,21.0,1.25,-11.71,-5.47,,5.7,0.91,mixed,
MDT,2026-02-06 20:56,2026-02-06,0.01,1900.0,8493,KLWX,beam_in_cloud,26.0,21.0,2.5,-11.71,-6.26,,5.7,0.91,mixed,
MDT,2026-02-07 00:32,2026-02-07,0.01,1600.0,8493,KLWX,beam_in_cloud,25.0,22.0,3.0,-12.89,-4.62,,8.9,4.06,mixed,
MDT,2026-02-07 00:46,2026-02-07,0.01,1400.0,8493,KLWX,beam_in_cloud,25.0,22.0,4.0,-12.89,-4.24,,8.9,4.06,mixed,
MDT,2026-02-07 00:56,2026-02-07,0.01,1300.0,8493,KLWX,beam_in_cloud,24.0,22.0,4.0,-12.89,-4.05,,8.9,4.06,mixed,
LNS,2026-02-07 08:06,2026-02-07,0.01,3000.0,9420,KDIX,beam_in_cloud,28.0,21.0,2.0,-22.19,-14.69,,2.2,5.84,glaciated,
LNS,2026-02-07 08:17,2026-02-07,0.01,3200.0,9420,KDIX,beam_in_cloud,28.0,20.0,5.0,-22.19,-15.27,,2.2,5.84,glaciated,
LNS,2026-02-07 08:44,2026-02-07,0.01,3700.0,9420,KDIX,beam_in_cloud,26.0,18.0,2.0,-22.19,-16.72,,2.2,5.84,glaciated,
LNS,2026-02-07 08:53,2026-02-07,0.01,4200.0,9420,KDIX,beam_in_cloud,25.0,18.0,2.5,-22.19,-18.14,,2.2,5.84,glaciated,
HZL,2026-02-12 15:16,2026-02-12,0.03,2700.0,7429,KBGM,beam_in_cloud,28.4,14.0,10.0,-11.1,-7.03,279,5.8,4.87,mixed,above_freeze
HZL,2026-02-12 15:35,2026-02-12,0.03,2700.0,7429,KBGM,beam_in_cloud,,,10.0,-11.1,-7.03,279,5.8,4.87,mixed,above_freeze
HZL,2026-02-12 15:55,2026-02-12,0.03,2700.0,7429,KBGM,beam_in_cloud,28.4,15.8,10.0,-11.1,-7.03,279,5.8,4.87,mixed,above_freeze
THV,2026-02-15 19:53,2026-02-15,0.01,3600.0,5874,KLWX,beam_in_cloud,40.0,35.0,3.0,-1.46,3.65,5090,13.6,2.98,mixed,above_freeze
THV,2026-02-15 20:22,2026-02-15,0.01,3500.0,5874,KLWX,beam_in_cloud,38.0,36.0,2.5,-1.46,3.89,5090,13.6,2.98,mixed,above_freeze
THV,2026-02-15 20:30,2026-02-15,0.02,3500.0,5874,KLWX,beam_in_cloud,38.0,36.0,1.75,-1.46,3.89,5090,13.6,2.98,mixed,above_freeze
THV,2026-02-15 20:53,2026-02-15,0.03,3600.0,5874,KLWX,beam_in_cloud,39.0,36.0,2.0,-1.46,3.65,5090,13.6,2.98,mixed,above_freeze
LNS,2026-02-15 20:53,2026-02-15,0.01,3700.0,9420,KDIX,beam_in_cloud,38.0,32.0,4.0,-5.48,3.41,5090,13.6,2.98,mixed,above_freeze
CXY,2026-02-15 20:56,2026-02-15,0.02,3600.0,8413,KLWX,beam_in_cloud,39.0,33.0,2.0,-3.37,3.65,5090,13.6,2.98,mixed,above_freeze
MDT,2026-02-15 20:56,2026-02-15,0.02,3800.0,8493,KLWX,beam_in_cloud,38.0,33.0,3.0,-3.53,3.17,5090,13.6,2.98,mixed,above_freeze
THV,2026-02-15 21:12,2026-02-15,0.01,3700.0,5874,KLWX,beam_in_cloud,39.0,36.0,1.75,-1.46,3.41,5090,13.6,2.98,mixed,above_freeze
THV,2026-02-15 21:19,2026-02-15,0.01,2800.0,5874,KLWX,beam_in_cloud,39.0,36.0,1.75,-1.46,5.57,5090,13.6,2.98,mixed,above_freeze
MDT,2026-02-15 21:19,2026-02-15,0.01,3400.0,8493,KLWX,beam_in_cloud,37.0,34.0,2.5,-3.53,4.13,5090,13.6,2.98,mixed,above_freeze
MDT,2026-02-15 21:29,2026-02-15,0.01,2900.0,8493,KLWX,beam_in_cloud,38.0,35.0,2.5,-3.53,5.33,5090,13.6,2.98,mixed,above_freeze
LNS,2026-02-15 21:43,2026-02-15,0.02,2800.0,9420,KDIX,beam_in_cloud,37.0,34.0,2.5,-5.48,5.57,5090,13.6,2.98,mixed,above_freeze
CXY,2026-02-15 21:49,2026-02-15,0.02,2700.0,8413,KLWX,beam_in_cloud,38.0,34.0,2.0,-3.37,5.81,5090,13.6,2.98,mixed,above_freeze
THV,2026-02-15 21:53,2026-02-15,0.04,2600.0,5874,KLWX,beam_in_cloud,37.0,36.0,1.25,-1.46,6.05,5090,13.6,2.98,mixed,above_freeze
LNS,2026-02-15 21:53,2026-02-15,0.03,2800.0,9420,KDIX,beam_in_cloud,36.0,34.0,3.0,-5.48,5.57,5090,13.6,2.98,mixed,above_freeze
MUI,2026-02-15 21:55,2026-02-15,0.01,2000.0,9189,KCCX,beam_in_cloud,37.4,35.6,6.0,-4.95,7.42,5090,13.6,2.98,mixed,above_freeze
CXY,2026-02-15 21:56,2026-02-15,0.02,2700.0,8413,KLWX,beam_in_cloud,37.0,34.0,2.0,-3.37,5.81,5090,13.6,2.98,mixed,above_freeze
MDT,2026-02-15 21:56,2026-02-15,0.02,3000.0,8493,KLWX,beam_in_cloud,38.0,35.0,2.0,-3.53,5.09,5090,13.6,2.98,mixed,above_freeze
MDT,2026-02-15 22:05,2026-02-15,0.01,3300.0,8493,KLWX,beam_in_cloud,36.0,35.0,1.75,-3.53,4.37,5090,13.6,2.98,mixed,above_freeze
MDT,2026-02-15 22:17,2026-02-15,0.01,2700.0,8493,KLWX,beam_in_cloud,37.0,35.0,1.75,-3.53,5.81,5090,13.6,2.98,mixed,above_freeze
THV,2026-02-15 22:21,2026-02-15,0.02,2600.0,5874,KLWX,beam_in_cloud,37.0,36.0,0.75,-1.46,6.05,5090,13.6,2.98,mixed,above_freeze
LNS,2026-02-15 22:25,2026-02-15,0.01,2700.0,9420,KDIX,beam_in_cloud,36.0,34.0,2.0,-5.48,5.81,5090,13.6,2.98,mixed,above_freeze
LNS,2026-02-15 22:46,2026-02-15,0.02,3200.0,9420,KDIX,beam_in_cloud,36.0,34.0,3.0,-5.48,4.61,5090,13.6,2.98,mixed,above_freeze
MDT,2026-02-15 22:47,2026-02-15,0.04,2500.0,8493,KLWX,beam_in_cloud,37.0,35.0,2.5,-3.53,6.29,5090,13.6,2.98,mixed,above_freeze
THV,2026-02-15 22:50,2026-02-15,0.06,2400.0,5874,KLWX,beam_in_cloud,37.4,35.6,1.0,-1.46,6.52,5090,13.6,2.98,mixed,above_freeze
THV,2026-02-15 22:53,2026-02-15,0.06,2400.0,5874,KLWX,beam_in_cloud,37.0,36.0,1.0,-1.46,6.52,5090,13.6,2.98,mixed,above_freeze
LNS,2026-02-15 22:53,2026-02-15,0.02,3400.0,9420,KDIX,beam_in_cloud,36.0,34.0,3.0,-5.48,4.13,5090,13.6,2.98,mixed,above_freeze
RDG,2026-02-15 22:54,2026-02-15,0.02,3100.0,7642,KDIX,beam_in_cloud,41.0,32.0,4.0,-1.91,4.85,5090,13.6,2.98,mixed,above_freeze
MUI,2026-02-15 22:55,2026-02-15,0.03,500.0,9189,KCCX,beam_in_cloud,37.0,36.3,5.0,-4.95,9.67,5090,13.6,2.98,mixed,above_freeze
CXY,2026-02-15 22:56,2026-02-15,0.04,2400.0,8413,KLWX,beam_in_cloud,37.0,35.0,1.5,-3.37,6.52,5090,13.6,2.98,mixed,above_freeze
MDT,2026-02-15 22:56,2026-02-15,0.05,2500.0,8493,KLWX,beam_in_cloud,37.0,35.0,2.5,-3.53,6.29,5090,13.6,2.98,mixed,above_freeze
THV,2026-02-15 23:04,2026-02-15,0.01,2400.0,5874,KLWX,beam_in_cloud,37.0,36.0,1.0,-1.46,6.52,5090,13.6,2.98,mixed,above_freeze
LNS,2026-02-15 23:16,2026-02-15,0.02,2500.0,9420,KDIX,beam_in_cloud,36.0,34.0,3.0,-5.48,6.29,5090,13.6,2.98,mixed,above_freeze
CXY,2026-02-15 23:20,2026-02-15,0.01,2300.0,8413,KLWX,beam_in_cloud,36.0,35.0,1.5,-3.37,6.75,5090,13.6,2.98,mixed,above_freeze
THV,2026-02-15 23:28,2026-02-15,0.03,2300.0,5874,KLWX,beam_in_cloud,37.0,36.0,1.25,-1.46,6.75,5090,13.6,2.98,mixed,above_freeze
CXY,2026-02-15 23:29,2026-02-15,0.02,900.0,8413,KLWX,beam_in_cloud,36.0,35.0,1.5,-3.37,9.88,5090,13.6,2.98,mixed,above_freeze
MDT,2026-02-15 23:29,2026-02-15,0.01,2500.0,8493,KLWX,beam_in_cloud,36.0,35.0,1.75,-3.53,6.29,5090,13.6,2.98,mixed,above_freeze
MDT,2026-02-15 23:34,2026-02-15,0.02,,8493,KLWX,no_ceiling,36.0,35.0,2.0,-3.53,,5090,13.6,2.98,mixed,above_freeze
SEG,2026-02-15 23:37,2026-02-15,0.01,2600.0,6608,KCCX,beam_in_cloud,35.0,33.0,5.0,-2.63,6.05,5090,13.6,2.98,mixed,above_freeze
THV,2026-02-15 23:37,2026-02-15,0.04,,5874,KLWX,no_ceiling,37.0,36.0,2.0,-1.46,,5090,13.6,2.98,mixed,above_freeze
RDG,2026-02-15 23:45,2026-02-15,0.01,4200.0,7642,KDIX,beam_in_cloud,40.0,33.0,4.0,-1.91,2.2,5090,13.6,2.98,mixed,above_freeze
SEG,2026-02-15 23:49,2026-02-15,0.01,,6608,KCCX,no_ceiling,35.6,33.8,4.0,-2.63,,5090,13.6,2.98,mixed,above_freeze
MDT,2026-02-15 23:49,2026-02-15,0.03,800.0,8493,KLWX,beam_in_cloud,37.0,35.0,2.0,-3.53,9.95,5090,13.6,2.98,mixed,above_freeze
SEG,2026-02-15 23:53,2026-02-15,0.01,,6608,KCCX,no_ceiling,35.0,34.0,4.0,-2.63,,5090,13.6,2.98,mixed,above_freeze
THV,2026-02-15 23:53,2026-02-15,0.06,3100.0,5874,KLWX,beam_in_cloud,37.0,36.0,3.0,-1.46,4.85,5090,13.6,2.98,mixed,above_freeze
LNS,2026-02-15 23:53,2026-02-15,0.05,2300.0,9420,KDIX,beam_in_cloud,36.0,34.0,2.5,-5.48,6.75,5090,13.6,2.98,mixed,above_freeze
RDG,2026-02-15 23:54,2026-02-15,0.01,4200.0,7642,KDIX,beam_in_cloud,39.0,33.0,4.0,-1.91,2.2,5090,13.6,2.98,mixed,above_freeze
MUI,2026-02-15 23:55,2026-02-15,0.04,1300.0,9189,KCCX,beam_in_cloud,37.2,36.5,6.0,-4.95,8.99,5090,13.6,2.98,mixed,above_freeze
CXY,2026-02-15 23:56,2026-02-15,0.03,800.0,8413,KLWX,beam_in_cloud,36.0,35.0,1.5,-3.37,9.95,5090,13.6,2.98,mixed,above_freeze
MDT,2026-02-15 23:56,2026-02-15,0.03,800.0,8493,KLWX,beam_in_cloud,37.0,35.0,2.0,-3.53,9.95,5090,13.6,2.98,mixed,above_freeze
SEG,2026-02-16 00:11,2026-02-16,0.01,4800.0,6608,KCCX,beam_in_cloud,35.0,34.0,2.5,-2.12,-0.48,4214,21.8,3.23,mixed,above_freeze
THV,2026-02-16 00:13,2026-02-16,0.01,2300.0,5874,KLWX,beam_in_cloud,37.0,36.0,3.0,-1.45,3.48,4214,21.8,3.23,mixed,above_freeze
MDT,2026-02-16 00:18,2026-02-16,0.02,800.0,8493,KLWX,beam_in_cloud,35.0,35.0,1.5,-3.72,3.86,4214,21.8,3.23,mixed,above_freeze
RDG,2026-02-16 00:25,2026-02-16,0.01,2500.0,7642,KDIX,beam_in_cloud,39.0,33.0,4.0,-2.96,3.24,4214,21.8,3.23,mixed,above_freeze
THV,2026-02-16 00:31,2026-02-16,0.02,700.0,5874,KLWX,beam_in_cloud,37.0,36.0,3.0,-1.45,3.71,4214,21.8,3.23,mixed,above_freeze
SEG,2026-02-16 00:36,2026-02-16,0.01,2300.0,6608,KCCX,beam_in_cloud,34.0,34.0,2.5,-2.12,3.48,4214,21.8,3.23,mixed,above_freeze
MDT,2026-02-16 00:41,2026-02-16,0.03,800.0,8493,KLWX,beam_in_cloud,37.0,36.0,2.5,-3.72,3.86,4214,21.8,3.23,mixed,above_freeze
THV,2026-02-16 00:46,2026-02-16,0.03,800.0,5874,KLWX,beam_in_cloud,37.0,36.0,2.5,-1.45,3.86,4214,21.8,3.23,mixed,above_freeze
SEG,2026-02-16 00:53,2026-02-16,0.02,2300.0,6608,KCCX,beam_in_cloud,35.0,34.0,2.0,-2.12,3.48,4214,21.8,3.23,mixed,above_freeze
THV,2026-02-16 00:53,2026-02-16,0.04,2400.0,5874,KLWX,beam_in_cloud,37.0,36.0,2.5,-1.45,3.41,4214,21.8,3.23,mixed,above_freeze
LNS,2026-02-16 00:53,2026-02-16,0.03,2200.0,9420,KDIX,beam_in_cloud,35.0,34.0,2.5,-4.48,3.56,4214,21.8,3.23,mixed,above_freeze
RDG,2026-02-16 00:54,2026-02-16,0.02,1300.0,7642,KDIX,beam_in_cloud,38.0,32.0,4.0,-2.96,4.29,4214,21.8,3.23,mixed,above_freeze
MUI,2026-02-16 00:55,2026-02-16,0.03,1400.0,9189,KCCX,beam_in_cloud,36.5,35.8,5.0,-4.29,4.22,4214,21.8,3.23,mixed,above_freeze
CXY,2026-02-16 00:56,2026-02-16,0.04,800.0,8413,KLWX,beam_in_cloud,36.0,34.0,1.5,-3.65,3.86,4214,21.8,3.23,mixed,above_freeze
MDT,2026-02-16 00:56,2026-02-16,0.04,800.0,8493,KLWX,beam_in_cloud,37.0,36.0,2.5,-3.72,3.86,4214,21.8,3.23,mixed,above_freeze
MDT,2026-02-16 01:05,2026-02-16,0.01,900.0,8493,KLWX,beam_in_cloud,37.0,36.0,3.0,-3.72,4.01,4214,21.8,3.23,mixed,above_freeze
N79,2026-02-16 01:15,2026-02-16,0.01,,5431,KDIX,no_ceiling,35.6,34.7,7.0,-1.06,,4214,21.8,3.23,mixed,above_freeze
THV,2026-02-16 01:18,2026-02-16,0.01,600.0,5874,KLWX,beam_in_cloud,37.0,36.0,3.0,-1.45,3.7,4214,21.8,3.23,mixed,above_freeze
THV,2026-02-16 01:32,2026-02-16,0.02,600.0,5874,KLWX,beam_in_cloud,36.0,35.0,2.5,-1.45,3.7,4214,21.8,3.23,mixed,above_freeze
MDT,2026-02-16 01:34,2026-02-16,0.01,900.0,8493,KLWX,beam_in_cloud,36.0,35.0,2.5,-3.72,4.01,4214,21.8,3.23,mixed,above_freeze
N79,2026-02-16 01:35,2026-02-16,0.02,,5431,KDIX,no_ceiling,35.4,34.7,6.0,-1.06,,4214,21.8,3.23,mixed,above_freeze
THV,2026-02-16 01:40,2026-02-16,0.02,600.0,5874,KLWX,beam_in_cloud,36.0,35.0,2.0,-1.45,3.7,4214,21.8,3.23,mixed,above_freeze
RDG,2026-02-16 01:43,2026-02-16,0.01,1200.0,7642,KDIX,beam_in_cloud,36.0,31.0,2.5,-2.96,4.37,4214,21.8,3.23,mixed,above_freeze
THV,2026-02-16 01:43,2026-02-16,0.02,800.0,5874,KLWX,beam_in_cloud,36.0,36.0,2.5,-1.45,3.86,4214,21.8,3.23,mixed,above_freeze
SEG,2026-02-16 01:53,2026-02-16,0.02,1700.0,6608,KCCX,beam_in_cloud,34.0,33.0,1.0,-2.12,4.0,4214,21.8,3.23,mixed,above_freeze
THV,2026-02-16 01:53,2026-02-16,0.03,800.0,5874,KLWX,beam_in_cloud,37.0,35.0,2.5,-1.45,3.86,4214,21.8,3.23,mixed,above_freeze
LNS,2026-02-16 01:53,2026-02-16,0.02,2600.0,9420,KDIX,beam_in_cloud,34.0,32.0,2.5,-4.48,3.06,4214,21.8,3.23,mixed,above_freeze
RDG,2026-02-16 01:54,2026-02-16,0.01,1200.0,7642,KDIX,beam_in_cloud,36.0,31.0,2.0,-2.96,4.37,4214,21.8,3.23,mixed,above_freeze
MDT,2026-02-16 01:54,2026-02-16,0.02,1000.0,8493,KLWX,beam_in_cloud,37.4,35.6,3.0,-3.72,4.16,4214,21.8,3.23,mixed,above_freeze
HZL,2026-02-16 01:55,2026-02-16,0.01,500.0,7429,KBGM,beam_in_cloud,32.0,30.2,1.0,-2.79,3.87,4214,21.8,3.23,mixed,above_freeze
MDT,2026-02-16 01:55,2026-02-16,0.02,1000.0,8493,KLWX,beam_in_cloud,37.0,35.0,3.0,-3.72,4.16,4214,21.8,3.23,mixed,above_freeze
MUI,2026-02-16 01:55,2026-02-16,0.02,600.0,9189,KCCX,beam_in_cloud,35.4,34.7,4.0,-4.29,3.7,4214,21.8,3.23,mixed,above_freeze
MDT,2026-02-16 01:55,2026-02-16,0.02,1000.0,8493,KLWX,beam_in_cloud,,,3.0,-3.72,4.16,4214,21.8,3.23,mixed,above_freeze
CXY,2026-02-16 01:56,2026-02-16,0.01,800.0,8413,KLWX,beam_in_cloud,36.0,35.0,2.0,-3.65,3.86,4214,21.8,3.23,mixed,above_freeze
N79,2026-02-16 02:15,2026-02-16,0.01,,5431,KDIX,no_ceiling,34.7,34.0,6.0,-1.06,,4214,21.8,3.23,mixed,above_freeze
THV,2026-02-16 02:20,2026-02-16,0.01,800.0,5874,KLWX,beam_in_cloud,36.0,35.0,2.5,-1.45,3.86,4214,21.8,3.23,mixed,above_freeze
THV,2026-02-16 02:32,2026-02-16,0.01,800.0,5874,KLWX,beam_in_cloud,36.0,35.0,2.0,-1.45,3.86,4214,21.8,3.23,mixed,above_freeze
N79,2026-02-16 02:35,2026-02-16,0.01,,5431,KDIX,no_ceiling,34.0,34.0,5.0,-1.06,,4214,21.8,3.23,mixed,above_freeze
SEG,2026-02-16 02:36,2026-02-16,0.01,1500.0,6608,KCCX,beam_in_cloud,35.0,34.0,2.0,-2.12,4.15,4214,21.8,3.23,mixed,above_freeze
THV,2026-02-16 02:39,2026-02-16,0.01,800.0,5874,KLWX,beam_in_cloud,36.0,35.0,1.75,-1.45,3.86,4214,21.8,3.23,mixed,above_freeze
THV,2026-02-16 02:45,2026-02-16,0.01,700.0,5874,KLWX,beam_in_cloud,36.0,35.0,2.0,-1.45,3.71,4214,21.8,3.23,mixed,above_freeze
SEG,2026-02-16 02:47,2026-02-16,0.01,1300.0,6608,KCCX,beam_in_cloud,35.6,33.8,3.0,-2.12,4.29,4214,21.8,3.23,mixed,above_freeze
SEG,2026-02-16 02:48,2026-02-16,0.01,1300.0,6608,KCCX,beam_in_cloud,35.0,34.0,3.0,-2.12,4.29,4214,21.8,3.23,mixed,above_freeze
THV,2026-02-16 02:53,2026-02-16,0.01,700.0,5874,KLWX,beam_in_cloud,36.0,35.0,1.75,-1.45,3.71,4214,21.8,3.23,mixed,above_freeze
LNS,2026-02-16 02:53,2026-02-16,0.01,2600.0,9420,KDIX,beam_in_cloud,33.0,32.0,2.5,-4.48,3.06,4214,21.8,3.23,mixed,above_freeze
MUI,2026-02-16 02:55,2026-02-16,0.01,500.0,9189,KCCX,beam_in_cloud,34.5,33.8,3.0,-4.29,3.87,4214,21.8,3.23,mixed,above_freeze
HZL,2026-02-16 02:55,2026-02-16,0.01,900.0,7429,KBGM,beam_in_cloud,32.0,28.4,0.75,-2.79,4.01,4214,21.8,3.23,mixed,above_freeze
CXY,2026-02-16 02:56,2026-02-16,0.02,900.0,8413,KLWX,beam_in_cloud,35.0,34.0,2.5,-3.65,4.01,4214,21.8,3.23,mixed,above_freeze
MDT,2026-02-16 02:56,2026-02-16,0.01,1000.0,8493,KLWX,beam_in_cloud,36.0,34.0,3.0,-3.72,4.16,4214,21.8,3.23,mixed,above_freeze
MDT,2026-02-16 03:08,2026-02-16,0.01,700.0,8493,KLWX,beam_in_cloud,35.0,34.0,2.5,-3.72,3.71,4214,21.8,3.23,mixed,above_freeze
N79,2026-02-16 03:15,2026-02-16,0.01,,5431,KDIX,no_ceiling,33.0,33.0,1.75,-1.06,,4214,21.8,3.23,mixed,above_freeze
THV,2026-02-16 03:23,2026-02-16,0.01,500.0,5874,KLWX,beam_in_cloud,35.0,34.0,2.5,-1.45,3.87,4214,21.8,3.23,mixed,above_freeze
SEG,2026-02-16 03:27,2026-02-16,0.02,1300.0,6608,KCCX,beam_in_cloud,35.0,33.0,4.0,-2.12,4.29,4214,21.8,3.23,mixed,above_freeze
MDT,2026-02-16 03:28,2026-02-16,0.02,900.0,8493,KLWX,beam_in_cloud,34.0,32.0,1.5,-3.72,4.01,4214,21.8,3.23,mixed,above_freeze
CXY,2026-02-16 03:31,2026-02-16,0.02,700.0,8413,KLWX,beam_in_cloud,34.0,32.0,1.75,-3.65,3.71,4214,21.8,3.23,mixed,above_freeze
HZL,2026-02-16 03:35,2026-02-16,0.01,600.0,7429,KBGM,beam_in_cloud,32.0,28.4,1.0,-2.79,3.7,4214,21.8,3.23,mixed,above_freeze
N79,2026-02-16 03:35,2026-02-16,0.02,,5431,KDIX,no_ceiling,32.7,32.7,1.25,-1.06,,4214,21.8,3.23,mixed,above_freeze
CXY,2026-02-16 03:40,2026-02-16,0.02,700.0,8413,KLWX,beam_in_cloud,33.0,32.0,2.0,-3.65,3.71,4214,21.8,3.23,mixed,above_freeze
SEG,2026-02-16 03:53,2026-02-16,0.04,1200.0,6608,KCCX,beam_in_cloud,34.0,32.0,3.0,-2.12,4.37,4214,21.8,3.23,mixed,above_freeze
