station,bufkit,valid,precip,stratum,cloud_base,cat,rap_date,rap_run,rap_fhr,rap_ok,sfc_tmpc,sfc_dwpc,freeze_ft,pwat_mm,cape,lclp_mb,lapse_3k,temp_beam_c,temp_base_c,dwpc_beam_c,rh_beam_pct,sat_deficit_c,cloud_phase,beam_vs_freeze,n_levels
RDG,krdg,2026-03-27 05:54,0.12,moderate,3600.0,beam_in_cloud,2026/03/27,0,5,True,17.54,15.28,11252,39.6,4.73,956.51,5.45,5.38,12.99,5.22,98.9,0.2,warm,below_freeze,50
RDG,krdg,2026-03-12 11:54,0.07,moderate,6000.0,beam_in_cloud,2026/03/12,0,11,True,8.44,4.81,9563,25.73,0.13,938.21,2.8,2.93,5.22,2.54,97.3,0.4,warm,bright_band,50
RDG,krdg,2026-03-16 07:50,0.05,moderate,1900.0,beam_in_cloud,2026/03/16,0,7,True,11.84,10.99,10087,31.96,0.0,981.61,3.69,3.98,12.16,3.87,99.2,0.1,warm,below_freeze,50
RDG,krdg,2026-03-06 02:54,0.24,heavy,3700.0,beam_in_cloud,2026/03/06,0,2,True,5.54,4.91,10024,31.31,0.0,996.41,1.51,4.79,10.82,3.75,93.0,1.0,warm,below_freeze,50
RDG,krdg,2026-03-06 02:38,0.19,heavy,4000.0,beam_in_cloud,2026/03/06,0,2,True,5.54,4.91,10024,31.31,0.0,996.41,1.51,4.79,10.69,3.75,93.0,1.0,warm,below_freeze,50
RDG,krdg,2026-03-06 03:26,0.19,heavy,1100.0,beam_in_cloud,2026/03/06,0,3,True,5.44,4.96,10202,31.84,0.0,1000.2,1.34,4.77,3.36,4.68,99.4,0.1,warm,below_freeze,50
RDG,krdg,2026-03-23 09:54,0.23,heavy,700.0,beam_in_cloud,2026/03/23,0,9,True,9.34,8.05,9610,28.14,0.0,970.46,3.1,3.02,7.57,2.8,98.5,0.2,warm,bright_band,50
RDG,krdg,2026-03-12 04:52,0.16,heavy,,no_ceiling,2026/03/12,0,4,True,19.14,17.87,11750,41.04,174.86,970.92,5.53,7.23,,6.43,94.7,0.8,warm,below_freeze,50
RDG,krdg,2026-03-12 04:54,0.16,heavy,,no_ceiling,2026/03/12,0,4,True,19.14,17.87,11750,41.04,174.86,970.92,5.53,7.23,,6.43,94.7,0.8,warm,below_freeze,50
MDT,kmdt,2026-03-23 07:06,0.02,light,4800.0,beam_in_cloud,2026/03/23,0,7,True,10.74,8.2,10870,31.27,0.0,953.24,2.87,3.79,6.77,3.69,99.3,0.1,warm,below_freeze,50
